date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name
2025-06-05,Round 2,WD,BAEK Ha.. / LEE So H.. (3) Rank 3 Elo 2160 (+8),16-21 / 21-16 / 21-14,Apriyani .. / Febi SETI.. Rank 125 Elo 1859 (-9),98,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,XD,CHENG .. / ZHANG C.. Rank 11 Elo 2008 (+33),21-18 / 21-15,FENG Ya.. / WEI Ya Xin Rank 48 Elo 2091 (-31),32,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,WS,Pornpawee CHOCHU.. (6) Rank 8 Elo 2291 (+11),20-22 / 21-10 / 21-18,PUSARLA V. Sindhu Rank 21 Elo 2072 (-11),78,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,XD,Jesper T.. / Amalie M.. (5) Rank 8 Elo 2030 (+13),22-20 / 25-23,Yuichi SH.. / Sayaka H.. Rank 24 Elo 1835 (-15),49,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,MS,SHI Yu Qi (1) Rank 2 Elo 2485 (+4),21-14 / 21-7,Yushi TANAKA Rank 22 Elo 2055 (-4),36,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,WS,Putri Kusuma WARDANI Rank 12 Elo 2175 (+22),17-21 / 21-9 / 21-8,Supanida KATETHONG (8) Rank 9 Elo 2121 (-22),68,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,XD,GOH Soo.. / LAI Shev.. (3) Rank 5 Elo 2038 (+17),21-12 / 21-17,Amri SYA.. / Nita Violin.. Rank 25 Elo 1904 (-18),33,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,MS,Kunlavut VITIDSARN (2) Rank 1 Elo 2495 (+5),21-10 / 21-17,LEE Chia Hao Rank 19 Elo 2131 (-6),41,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,XD,Hiroki MI.. / Natsu SA.. (7) Rank 9 Elo 2032 (+23),23-21 / 14-21 / 22-20,Jafar HID.. / Felisha Al.. Rank 15 Elo 1987 (-23),74,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,XD,Thom GI.. / Delphine .. Rank 10 Elo 2022 (+16),21-19 / 21-18,Ruttanap.. / Jhenicha .. Rank 18 Elo 1871 (-18),51,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,WS,CHEN Yu Fei (5) Rank 5 Elo 2657 (+2),21-9 / 21-14,Natsuki NIDAIRA Rank 17 Elo 2094 (-2),42,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,WS,AN Se Young (1) Rank 1 Elo 2700 (+3),21-7 / 21-11,KIM Ga Eun Rank 22 Elo 2193 (-3),34,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,XD,Dechapol.. / Supissar.. (6) Rank 6 Elo 2220 (+3),21-7 / 21-12,Sathish K.. / Aadya VA.. Rank 37 Elo 1731 (-4),25,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
2025-06-05,Round 2,XD,Adnan M.. / Indah Cah.. Rank 32 Elo 1857 (+17),21-19 / 21-11,HEE Yon.. / JIN Yu Jia Rank 27 Elo 1695 (-24),35,https://badmintonranks.com/tournament?id=14466,4,Indonesia Open 2025
