date,tournament,round,type,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2021-11-23,Indonesia Open 2021,Round 1,WD,Fitriani FITRIANI / Yulia Yosephine SUSANTO,82,1540,Febby Valencia Dwijayanti GANI / Jesita Putri MIANTORO,,1707
2021-11-23,Indonesia Open 2021,Round 1,WD,Puttita SUPAJIRAKUL / Sapsiree TAERATTANACHAI,17,1982,Siti Fadia Silva RAMADHANTI / Ribka SUGIARTO,27,1866
2021-11-23,Indonesia Open 2021,Round 1,XD,TAN Kian Meng / LAI Pei Jing,12,1923,GOH Soon Huat / LAI Shevon Jemie,13,1949
2021-11-23,Indonesia Open 2021,Round 1,MS,Hans-Kristian Solberg VITTINGHUS,21,2085,Kantaphon WANGCHAROEN,18,1986
2021-11-23,Indonesia Open 2021,Round 1,WS,Sayaka TAKAHASHI,13,2230,Saena KAWAKAMI,44,1893
2021-11-23,Indonesia Open 2021,Round 1,XD,Adnan MAULANA / Mychelle Crhystine BANDASO,35,1781,Thom GICQUEL / Delphine DELRUE,11,1974
2021-11-23,Indonesia Open 2021,Round 1,MD,LEE Yang / WANG Chang,3,2282,GOH V Shem / LOW Juan Shen,156,1677
2021-11-23,Indonesia Open 2021,Round 1,XD,Mark LAMSFUSS / Isabel LOHAU,14,1918,Supak JOMKOH / Supissara PACHARAMONGKOL,26,1886
2021-11-23,Indonesia Open 2021,Round 1,MD,Satwiksairaj RANKIREDDY / Chirag SHETTY,11,2063,KIM Jae Hwan / NA Sung Seung,,1645
2021-11-24,Indonesia Open 2021,Round 1,MS,Viktor AXELSEN,2,2582,Koki WATANABE,40,1951
2021-11-24,Indonesia Open 2021,Round 1,XD,Mathias THYRRI / Alexandra BOE,15,1938,Rinov RIVALDY / Pitha Haningtyas MENTARI,20,1940
2021-11-24,Indonesia Open 2021,Round 1,MD,LU Ching Yao / YANG Po Hsuan,20,1914,Vladimir IVANOV / Ivan SOZONOV,15,1903
2021-11-24,Indonesia Open 2021,Round 1,XD,Takuro HOKI / Nami MATSUYAMA,,1655,REDDY .. / Ashwini PONNAPPA,99,1645
2021-11-24,Indonesia Open 2021,Round 1,MD,Pramudya KUSUMAWARDANA / Yeremia Erich Yoche Yacob RAMBITAN,28,1984,Ben LANE / Sean VENDY,17,1807
2021-11-24,Indonesia Open 2021,Round 1,XD,CHANG Tak Ching / NG Wing Yung,29,1711,Rehan Naufal KUSHARJANTO / Lisa Ayu KUSUMAWATI,52,1605
2021-11-24,Indonesia Open 2021,Round 1,XD,Hafiz FAIZAL / Gloria Emanuelle WIDJAJA,10,1968,Oliver LEIRUD / Anona PAK,60,1579
2021-11-24,Indonesia Open 2021,Round 1,MS,Christo POPOV,70,1825,Anthony Sinisuka GINTING,5,2302
2021-11-24,Indonesia Open 2021,Round 1,MS,WANG Tzu Wei,11,2080,Tommy SUGIARTO,24,2005
2021-11-24,Indonesia Open 2021,Round 1,XD,Praveen JORDAN / Melati Daeva OKTAVIANTI,5,2077,Yujiro NISHIKAWA / Saori OZAKI,104,1627
2021-11-24,Indonesia Open 2021,Round 1,MS,KIDAMBI Srikanth,14,2165,PRANNOY H. S.,31,2023
2021-11-24,Indonesia Open 2021,Round 1,MS,Anders ANTONSEN,3,2353,Kunlavut VITIDSARN,22,2145
2021-11-24,Indonesia Open 2021,Round 1,MS,Jonatan CHRISTIE,8,2230,LIEW Daren,36,1999
2021-11-24,Indonesia Open 2021,Round 1,MD,Takuro HOKI / Yugo KOBAYASHI,7,2211,Hendra SETIAWAN / Mohammad AHSAN,2,2121
2021-11-24,Indonesia Open 2021,Round 1,XD,Yuta WATANABE / Arisa IGAKI,4,2366,HOO Pang Ron / CHEAH Yee See,23,1868
2021-11-24,Indonesia Open 2021,Round 1,WS,Ratchanok INTANON,8,2226,KIM Ga Eun,19,2064
2021-11-24,Indonesia Open 2021,Round 1,WD,Gabriela STOEVA / Stefani STOEVA,11,1943,Ashwini PONNAPPA / REDDY Sikki Gupta,24,1712
